MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.258564,33,0,0,205.897,2,8192,0,0,20,0,0,0,0.011648,0,0,0,0
0,1.26937,109,0,0,341.086,2,8192,0,0,59,0,0,0,0.011648,0,0,0,0
0,3.93613,338,0,0,404.229,2,8192,0,0,173,0,0,0,0.011648,0,0,0,0
0,8.18705,703,0,0,504.523,2,8192,0,0,358,0,0,0,0.011648,0,0,0,0
0,11.3079,971,0,0,649.617,2,8192,0,0,492,0,0,0,0.011648,0,0,0,0
0,17.0489,1464,0,0,821.266,2,8192,0,0,735,0,0,0,0.011648,0,0,0,0
0,18.31,1573,0,0,1083.04,2,8192,0,0,788,0,0,0,0.011648,0,0,0,0
0,21.3921,1837,0,0,1193.43,2,8192,0,0,923,0,0,0,0.011648,0,0,0,0
0,23.5386,2022,0,0,1193.43,2,8192,0,0,1012,0,0,0,0.011648,0,0,0,0
0,21.8593,1877,0,0,1193.43,2,8192,0,0,943,0,0,0,0.011648,0,0,0,0
0,20.4254,1754,0,0,1193.43,2,8192,0,0,878,0,0,0,0.011648,0,0,0,0
0,22.9526,1971,0,0,1193.43,2,8192,0,0,989,0,0,0,0.011648,0,0,0,0
0,21.2071,1821,0,729,1193.43,2,8192,0,0,236,60,0,0,0.011648,0,60,0,729
0,27.4627,2359,0,1220,2530.45,2,8192,0,0,1,150,0,0,0.011648,0,210,0,1949
0,21.4264,1840,0,691,2392.01,2,8192,0,0,0,49,0,0,0.011648,0,259,0,2640
0,23.8372,2047,0,0,2327.24,2,8192,0,0,0,0,0,0,0.011648,0,259,0,2640
0,14.1019,1211,0,0,2327.24,2,8192,0,0,5,0,0,0,0.011648,0,259,0,2640
0,29.52,2535,0,0,2327.24,2,8192,0,0,0,0,0,0,0.011648,0,259,0,2640
0,31.5598,2710,0,0,2327.24,2,8192,0,0,0,0,0,0,0.011648,0,259,0,2640
0,13.4967,1159,0,0,2728.95,2,8192,0,0,5,0,0,0,0.011648,0,259,0,2640
0,0.128105,11,0,0,1757.62,2,8192,0,0,6,0,0,0,0.011648,0,259,0,2640
0,0.500801,43,0,0,827.365,2,8192,0,0,24,0,0,0,0.011648,0,259,0,2640
0,0.524022,45,0,0,736.587,2,8192,0,0,24,0,0,0,0.011648,0,259,0,2640
0,0.756906,65,0,0,719.775,2,8192,0,0,34,0,0,0,0.011648,0,259,0,2640
0,2.38734,205,0,0,772.027,2,8192,0,0,106,0,0,0,0.011648,0,259,0,2640
0,3.07444,264,0,0,791.765,2,8192,0,0,136,0,0,0,0.011648,0,259,0,2640
0,4.09902,352,0,0,880.36,2,8192,0,0,180,0,0,0,0.011648,0,259,0,2640
0,6.0554,520,0,0,947.795,2,8192,0,0,263,0,0,0,0.011648,0,259,0,2640
0,8.97894,771,0,0,1066.76,2,8192,0,0,389,0,0,0,0.011648,0,259,0,2640
0,11.762,1010,0,0,1259.39,2,8192,0,0,509,0,0,0,0.011648,0,259,0,2640
0,8.0703,693,0,0,1399.47,2,8192,0,0,354,0,0,0,0.011648,0,259,0,2640
0,14.7431,1266,0,0,1627.39,2,8192,0,0,639,0,0,0,0.011648,0,259,0,2640
0,14.7783,1269,0,0,1738.57,2,8192,0,0,638,0,0,0,0.011648,0,259,0,2640
0,15.8841,1364,0,0,1738.57,2,8192,0,0,687,0,0,0,0.011648,0,259,0,2640
0,13.0198,1118,0,0,1738.57,2,8192,0,0,564,0,0,0,0.011648,0,259,0,2640
0,23.7107,2036,0,0,1738.57,2,8192,0,0,1021,0,0,0,0.011648,0,259,0,2640
0,7.54569,648,0,76,1738.57,2,8192,0,0,129,15,0,0,0.011648,0,274,0,2716
0,20.786,1785,0,296,2507.37,2,8192,0,0,0,122,0,0,0.011648,0,396,0,3012
0,13.0774,1123,0,205,2462.52,2,8192,0,0,4,69,0,0,0.011648,0,465,0,3217
0,5.90384,507,0,0,1882.77,2,8192,0,0,0,0,0,0,0.011648,0,465,0,3217
0,0,0,0,0,1882.77,2,8192,0,0,0,0,0,0,0.011648,0,465,0,3217
0,0,0,0,0,1882.77,2,8192,0,0,0,0,0,0,0.011648,0,465,0,3217
