MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.0164837,4,0,0,220.243,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.02329,2,0,0,532.79,2,8192,0,0,1,0,0,0,0.011648,0,0,0,0
0,0.0698678,6,0,0,717.794,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,0.069873,6,0,0,833.158,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0349355,3,0,0,1128.47,2,8192,0,0,2,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1128.47,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0465786,4,0,0,1442.4,2,8192,0,0,2,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1442.4,2,8192,0,0,1,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1442.4,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0582256,5,0,0,1896.17,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0582259,5,0,0,1896.17,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1896.17,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0349353,3,0,0,2165.51,2,8192,0,0,2,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2165.51,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2165.51,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0465791,4,0,0,2284.58,2,8192,0,0,2,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2284.58,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2284.58,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0465787,4,0,0,2385.85,2,8192,0,0,2,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2385.85,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0582253,5,0,0,2398.53,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2398.53,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2398.53,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0582278,5,0,0,2518.52,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2518.52,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2518.52,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0698684,6,0,0,2662.53,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2662.53,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,2662.53,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
