MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.00672724,2,0,1,100,2,8192,0,0,4,1,0,0,0.011648,0,1,0,1
0,0.0349324,3,0,0,454.754,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,0.0582233,5,0,0,737.374,2,8192,0,0,3,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,737.374,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.0931609,8,0,0,1112.66,2,8192,0,0,3,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1112.66,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.0349353,3,0,0,1112.66,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.0349352,3,0,0,1622.74,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1622.74,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.046579,4,0,0,1863.77,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1863.77,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.0465797,4,0,0,1827.53,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1827.53,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1827.53,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.0582259,5,0,0,1993.04,2,8192,0,0,3,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1993.04,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,1993.04,2,8192,0,0,0,0,0,0,0.011648,0,1,0,1
0,0.0465791,4,0,1,2341.82,2,8192,0,0,3,1,0,0,0.011648,0,2,0,2
0,0,0,0,0,2341.82,2,8192,0,0,0,0,0,0,0.011648,0,2,0,2
0,0.0582242,5,0,0,2230.1,2,8192,0,0,1,0,0,0,0.011648,0,2,0,2
0,0,0,0,0,2230.1,2,8192,0,0,0,0,0,0,0.011648,0,2,0,2
0,0.0698729,6,0,0,2243.79,2,8192,0,0,3,0,0,0,0.011648,0,2,0,2
0,0,0,0,0,2243.79,2,8192,0,0,0,0,0,0,0.011648,0,2,0,2
0,0,0,0,0,2243.79,2,8192,0,0,0,0,0,0,0.011648,0,2,0,2
0,0.0698677,6,0,0,2411.07,2,8192,0,0,3,0,0,0,0.011648,0,2,0,2
0,0,0,0,0,2411.07,2,8192,0,0,0,0,0,0,0.011648,0,2,0,2
0,0,0,0,0,2411.07,2,8192,0,0,0,0,0,0,0.011648,0,2,0,2
0,0.0815132,7,0,0,2534.32,2,8192,0,0,4,0,0,0,0.011648,0,2,0,2
0,0.0815133,7,0,0,2123.17,2,8192,0,0,4,0,0,0,0.011648,0,2,0,2
0,0.0931583,8,0,0,1653.34,2,8192,0,0,4,0,0,0,0.011648,0,2,0,2
0,0.0815141,7,0,0,1400.58,2,8192,0,0,5,0,0,0,0.011648,0,2,0,2
0,0.0116447,1,0,0,1392.13,2,8192,0,0,2,0,0,0,0.011648,0,2,0,2
0,0.104803,9,0,0,1368.25,2,8192,0,0,6,0,0,0,0.011648,0,2,0,2
0,0.0815124,7,0,0,1414.73,2,8192,0,0,4,0,0,0,0.011648,0,2,0,2
0,0.0349332,3,0,0,1437.41,2,8192,0,0,2,0,0,0,0.011648,0,2,0,2
0,0.104811,9,0,0,1494.14,2,8192,0,0,6,0,0,0,0.011648,0,2,0,2
0,0.0815189,7,0,0,1519.04,2,8192,0,0,4,0,0,0,0.011648,0,2,0,2
0,0.0582267,5,0,0,1519.52,2,8192,0,0,4,0,0,0,0.011648,0,2,0,2
0,0.116449,10,0,0,1481.8,2,8192,0,0,6,0,0,0,0.011648,0,2,0,2
0,0.0931578,8,0,0,1502.48,2,8192,0,0,5,0,0,0,0.011648,0,2,0,2
0,0.0465788,4,0,0,1527.44,2,8192,0,0,3,0,0,0,0.011648,0,2,0,2
0,0.128092,11,0,0,1583.36,2,8192,0,0,6,0,0,0,0.011648,0,2,0,2
0,0.0349341,3,0,0,1607.54,2,8192,0,0,2,0,0,0,0.011648,0,2,0,2
0,0.116452,10,0,0,1689.63,2,8192,0,0,7,0,0,0,0.011648,0,2,0,2
0,0.104806,9,0,0,1768.59,2,8192,0,0,5,0,0,0,0.011648,0,2,0,2
