MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.0329724,8,0,0,230.434,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.0815134,7,0,0,327.754,2,8192,0,0,6,0,0,0,0.011648,0,0,0,0
0,0.104808,9,0,0,442.342,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.128097,11,0,0,541.256,2,8192,0,0,7,0,0,0,0.011648,0,0,0,0
0,0.0931593,8,0,0,623.567,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.0931646,8,0,0,711.052,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,0.0931644,8,0,0,837.401,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,0.0698728,6,0,0,968.539,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0.0232906,2,0,0,1016.43,2,8192,0,0,1,0,0,0,0.011648,0,0,0,0
0,0.104806,9,0,0,1264.54,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1264.54,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0815204,7,0,0,1622.88,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,0.0232925,2,0,0,1715.35,2,8192,0,0,1,0,0,0,0.011648,0,0,0,0
0,0.0349367,3,0,0,1818.35,2,8192,0,0,2,0,0,0,0.011648,0,0,0,0
0,0.08152,7,0,0,2107.32,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,0.0232897,2,0,0,2114.29,2,8192,0,0,1,0,0,0,0.011648,0,0,0,0
0,0.0931642,8,0,0,2027.16,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.0931679,8,0,0,1931.87,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.0349374,3,0,0,1969.59,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,1969.59,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0,0.0931615,8,0,0,2275.8,2,8192,0,0,5,0,0,0,0.011648,0,0,0,0
0,0.0232902,2,0,2,2327.77,2,8192,0,0,0,1,0,0,0.011648,0,1,0,2
0,0.0931642,8,0,0,2197.74,2,8192,0,0,0,0,0,0,0.011648,0,1,0,2
0,0.0232909,2,0,0,2197.74,2,8192,0,0,2,0,0,0,0.011648,0,1,0,2
0,0.139748,12,0,0,2048.07,2,8192,0,0,7,0,0,0,0.011648,0,1,0,2
0,0,0,0,0,2048.07,2,8192,0,0,0,0,0,0,0.011648,0,1,0,2
0,0,0,0,0,2048.07,2,8192,0,0,0,0,0,0,0.011648,0,1,0,2
0,0.116459,10,0,2,2501.42,2,8192,0,0,1,2,0,0,0.011648,0,3,0,4
0,0.174689,15,0,0,2348.81,2,8192,0,0,3,0,0,0,0.011648,0,3,0,4
0,0.0698734,6,0,0,1909.78,2,8192,0,0,3,0,0,0,0.011648,0,3,0,4
0,0.0698739,6,0,0,1596.04,2,8192,0,0,3,0,0,0,0.011648,0,3,0,4
0,0.0698747,6,0,0,1406.91,2,8192,0,0,3,0,0,0,0.011648,0,3,0,4
0,0.0815154,7,0,0,1301.66,2,8192,0,0,4,0,0,0,0.011648,0,3,0,4
0,0.0815147,7,0,0,1225.79,2,8192,0,0,4,0,0,0,0.011648,0,3,0,4
0,0.0815186,7,0,0,1228.04,2,8192,0,0,4,0,0,0,0.011648,0,3,0,4
0,0.0116458,1,0,0,1231.51,2,8192,0,0,1,0,0,0,0.011648,0,3,0,4
0,0.0931663,8,0,0,1223.49,2,8192,0,0,5,0,0,0,0.011648,0,3,0,4
0,0.104816,9,0,0,1266.2,2,8192,0,0,6,0,0,0,0.011648,0,3,0,4
0,0.104815,9,0,0,1287.55,2,8192,0,0,5,0,0,0,0.011648,0,3,0,4
0,0.0116463,1,0,0,1294.7,2,8192,0,0,1,0,0,0,0.011648,0,3,0,4
0,0.116459,10,0,0,1390.42,2,8192,0,0,6,0,0,0,0.011648,0,3,0,4
0,0.0698799,6,0,0,1482.67,2,8192,0,0,4,0,0,0,0.011648,0,3,0,4
0,0.0582299,5,0,0,1562,2,8192,0,0,3,0,0,0,0.011648,0,3,0,4
0,0.0698784,6,0,0,1731.52,2,8192,0,0,3,0,0,0,0.011648,0,3,0,4
0,0.0582258,5,0,0,1826.21,2,8192,0,0,4,0,0,0,0.011648,0,3,0,4
0,0,0,0,0,1826.21,2,8192,0,0,0,0,0,0,0.011648,0,3,0,4
0,0.128103,11,0,0,2060.78,2,8192,0,0,7,0,0,0,0.011648,0,3,0,4
0,0.0116451,1,0,0,2084.9,2,8192,0,0,1,0,0,0,0.011648,0,3,0,4
0,0.128095,11,0,0,2251.28,2,8192,0,0,7,0,0,0,0.011648,0,3,0,4
0,0,0,0,0,2251.28,2,8192,0,0,0,0,0,0,0.011648,0,3,0,4
0,0.0582265,5,0,2,2301.91,2,8192,0,0,0,1,0,0,0.011648,0,4,0,6
0,0.0465805,4,0,2,2346.74,2,8192,0,0,0,1,0,0,0.011648,0,5,0,8
0,0.0465811,4,0,0,2346.74,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0,0,0,0,2346.74,2,8192,0,0,0,0,0,0,0.011648,0,5,0,8
0,0.116457,10,0,0,2243.54,2,8192,0,0,5,0,0,0,0.011648,0,5,0,8
0,0.0349388,3,0,0,2230.86,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.116462,10,0,0,2061.52,2,8192,0,0,6,0,0,0,0.011648,0,5,0,8
0,0.0465861,4,0,0,2068.75,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.116467,10,0,0,2225.93,2,8192,0,0,6,0,0,0,0.011648,0,5,0,8
0,0.046582,4,0,0,2296.32,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.104809,9,0,0,2353.69,2,8192,0,0,5,0,0,0,0.011648,0,5,0,8
0,0.0232901,2,0,0,2377.17,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.0465802,4,0,0,2438.23,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.139745,12,0,0,2473.53,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0349361,3,0,0,2464.79,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.174678,15,0,0,2012.46,2,8192,0,0,8,0,0,0,0.011648,0,5,0,8
0,0.128095,11,0,0,1528.78,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0815184,7,0,0,1664.49,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.116453,10,0,0,1890.6,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.069873,6,0,0,1963.88,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.139751,12,0,0,2080.36,2,8192,0,0,8,0,0,0,0.011648,0,5,0,8
0,0.0465858,4,0,0,2104.68,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.163045,14,0,0,2188.02,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0465849,4,0,0,2190.62,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.0465814,4,0,0,2210.41,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.174689,15,0,0,2228.22,2,8192,0,0,8,0,0,0,0.011648,0,5,0,8
0,0.0232918,2,0,0,2222.97,2,8192,0,0,1,0,0,0,0.011648,0,5,0,8
0,0.151395,13,0,0,2259.23,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0698756,6,0,0,2267.52,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.151388,13,0,0,2258.39,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0582291,5,0,0,2261.45,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.0582288,5,0,0,2283.22,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.174685,15,0,0,2331.57,2,8192,0,0,8,0,0,0,0.011648,0,5,0,8
0,0.0349378,3,0,0,2339.59,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.151401,13,0,0,2451.51,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0582279,5,0,0,2459.26,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.0582284,5,0,0,2470.32,2,8192,0,0,4,0,0,0,0.011648,0,5,0,8
0,0.23292,20,0,0,1945.09,2,8192,0,0,13,0,0,0,0.011648,0,5,0,8
0,0.221268,19,0,0,1546.71,2,8192,0,0,10,0,0,0,0.011648,0,5,0,8
0,0.0582263,5,0,0,1712.64,2,8192,0,0,4,0,0,0,0.011648,0,5,0,8
0,0.209616,18,0,0,1847.19,2,8192,0,0,10,0,0,0,0.011648,0,5,0,8
0,0.0582264,5,0,0,1908.82,2,8192,0,0,4,0,0,0,0.011648,0,5,0,8
0,0.209608,18,0,0,2042.71,2,8192,0,0,9,0,0,0,0.011648,0,5,0,8
0,0.0116452,1,0,0,2057.18,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.256191,22,0,0,2194.63,2,8192,0,0,13,0,0,0,0.011648,0,5,0,8
0,0.0116457,1,0,0,2199.79,2,8192,0,0,1,0,0,0,0.011648,0,5,0,8
0,0.186331,16,0,0,2294.6,2,8192,0,0,9,0,0,0,0.011648,0,5,0,8
0,0.104817,9,0,0,2330.83,2,8192,0,0,6,0,0,0,0.011648,0,5,0,8
0,0.0465816,4,0,0,2371.55,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.221272,19,0,0,2449.45,2,8192,0,0,12,0,0,0,0.011648,0,5,0,8
0,0.0232929,2,0,0,2452.9,2,8192,0,0,1,0,0,0,0.011648,0,5,0,8
0,0.1747,15,0,0,2490.4,2,8192,0,0,10,0,0,0,0.011648,0,5,0,8
0,0.128108,11,0,0,2494.72,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0232903,2,0,0,2488.98,2,8192,0,0,1,0,0,0,0.011648,0,5,0,8
0,0.256186,22,0,0,2462.82,2,8192,0,0,15,0,0,0,0.011648,0,5,0,8
0,0.0232898,2,0,0,2454.44,2,8192,0,0,1,0,0,0,0.011648,0,5,0,8
0,0.314414,27,0,0,1819.91,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.0232905,2,0,0,1799,2,8192,0,0,1,0,0,0,0.011648,0,5,0,8
0,0.326067,28,0,0,1738.14,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.326072,28,0,0,1136.36,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.31443,27,0,0,1152.44,2,8192,0,0,15,0,0,0,0.011648,0,5,0,8
0,0.326086,28,0,0,1248.85,2,8192,0,0,15,0,0,0,0.011648,0,5,0,8
0,0.291142,25,0,0,1225.08,2,8192,0,0,14,0,0,0,0.011648,0,5,0,8
0,0.093164,8,0,0,1252.18,2,8192,0,0,6,0,0,0,0.011648,0,5,0,8
0,0.326096,28,0,0,1311.92,2,8192,0,0,17,0,0,0,0.011648,0,5,0,8
0,0.349384,30,0,0,1382.67,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.174697,15,0,0,1345.55,2,8192,0,0,9,0,0,0,0.011648,0,5,0,8
0,0.221266,19,0,0,1339.64,2,8192,0,0,12,0,0,0,0.011648,0,5,0,8
0,0.337707,29,0,0,1402.3,2,8192,0,0,17,0,0,0,0.011648,0,5,0,8
0,0.361018,31,0,0,1428.36,2,8192,0,0,18,0,0,0,0.011648,0,5,0,8
0,0.0582297,5,0,0,1445.2,2,8192,0,0,5,0,0,0,0.011648,0,5,0,8
0,0.337732,29,0,0,1499.93,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.279503,24,0,0,1601.87,2,8192,0,0,14,0,0,0,0.011648,0,5,0,8
0,0.116454,10,0,0,1670.04,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.349386,30,0,0,1826.79,2,8192,0,0,18,0,0,0,0.011648,0,5,0,8
0,0.0349387,3,0,0,1862.39,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.291149,25,0,0,2048.89,2,8192,0,0,14,0,0,0,0.011648,0,5,0,8
0,0.116467,10,0,0,2121.07,2,8192,0,0,7,0,0,0,0.011648,0,5,0,8
0,0.0465868,4,0,0,2212.08,2,8192,0,0,3,0,0,0,0.011648,0,5,0,8
0,0.33769,29,0,0,2346.53,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.0349388,3,0,0,2388.7,2,8192,0,0,2,0,0,0,0.011648,0,5,0,8
0,0.33774,29,0,0,2452.23,2,8192,0,0,16,0,0,0,0.011648,0,5,0,8
0,0.0582288,5,0,2,2454.63,2,8192,0,0,1,1,0,0,0.011648,0,6,0,10
0,0.372658,32,0,0,1754.64,2,8192,0,0,2,0,0,0,0.011648,0,6,0,10
0,0,0,0,0,1754.64,2,8192,0,0,0,0,0,0,0.011648,0,6,0,10
